variable,scenario,region,heating_fuel,management,no_replacement,replacement
stock,BAU,WV,distillate,0.088888889,0.4,0.511111111
stock,BAU,WV,natural gas,0.182389937,0.260557053,0.55705301
stock,BAU,WV,other fuel,0.1,0.6,0.3
stock,BAU,WV,propane,0.134831461,0.426966292,0.438202247
stock,BAU,WV,wood,0.061403509,0.570175439,0.368421053
stock,BAU,WY,electricity,0.132075472,0.613207547,0.254716981
stock,BAU,WY,distillate,0,0,1
stock,BAU,WY,natural gas,0.178414097,0.207048458,0.614537445
stock,BAU,WY,other fuel,0,0,1
stock,BAU,WY,propane,0.153846154,0.307692308,0.538461538
stock,BAU,WY,wood,0.076923077,0.423076923,0.5
stock,BAU w/ HPWH,AK,electricity,0.074074074,0.851851852,0.074074074
stock,BAU w/ HPWH,AK,distillate,0.1953125,0.6953125,0.109375
stock,BAU w/ HPWH,AK,natural gas,0.336021505,0.403225806,0.260752688
stock,BAU w/ HPWH,AK,other fuel,0,0,1
stock,BAU w/ HPWH,AK,propane,0.25,0.75,0
stock,BAU w/ HPWH,AK,wood,0.1875,0.729166667,0.083333333
stock,BAU w/ HPWH,AL,electricity,0.238577124,0.722784422,0.038638454
stock,BAU w/ HPWH,AL,distillate,0,1,0
stock,BAU w/ HPWH,AL,natural gas,0.231347289,0.409017713,0.359634997
stock,BAU w/ HPWH,AL,other fuel,0,0,1
stock,BAU w/ HPWH,AL,propane,0.209459459,0.391891892,0.398648649
stock,BAU w/ HPWH,AL,wood,0.333333333,0.266666667,0.4
stock,BAU w/ HPWH,AR,electricity,0.208894879,0.710242588,0.080862534
stock,BAU w/ HPWH,AR,distillate,0,0,1
stock,BAU w/ HPWH,AR,natural gas,0.236093943,0.342398022,0.421508035
stock,BAU w/ HPWH,AR,other fuel,0.5,0,0.5
stock,BAU w/ HPWH,AR,propane,0.217877095,0.335195531,0.446927374
stock,BAU w/ HPWH,AR,wood,0.257731959,0.443298969,0.298969072
stock,BAU w/ HPWH,AZ,electricity,0.212965245,0.750554597,0.036480158
stock,BAU w/ HPWH,AZ,distillate,0,0,1
stock,BAU w/ HPWH,AZ,natural gas,0.268958186,0.538979447,0.192062367
stock,BAU w/ HPWH,AZ,other fuel,0.166666667,0.6875,0.145833333
stock,BAU w/ HPWH,AZ,propane,0.262773723,0.467153285,0.270072993
stock,BAU w/ HPWH,AZ,wood,0.29787234,0.432624113,0.269503546
stock,BAU w/ HPWH,CA,electricity,0.330393067,0.599350046,0.070256886
stock,BAU w/ HPWH,CA,distillate,0.171428571,0.414285714,0.414285714
stock,BAU w/ HPWH,CA,natural gas,0.425682951,0.38109671,0.193220339
stock,BAU w/ HPWH,CA,other fuel,0.309433962,0.558490566,0.132075472
stock,BAU w/ HPWH,CA,propane,0.346815835,0.425989673,0.227194492
stock,BAU w/ HPWH,CA,wood,0.27820711,0.519319938,0.202472952
stock,BAU w/ HPWH,CO,electricity,0.142708333,0.714583333,0.142708333
stock,BAU w/ HPWH,CO,distillate,0,0,1
stock,BAU w/ HPWH,CO,natural gas,0.187741935,0.371397849,0.440860215
stock,BAU w/ HPWH,CO,other fuel,0.166666667,0.5,0.333333333
stock,BAU w/ HPWH,CO,propane,0.208053691,0.359060403,0.432885906
stock,BAU w/ HPWH,CO,wood,0.2,0.355555556,0.444444444
stock,BAU w/ HPWH,CT,electricity,0.136546185,0.779116466,0.084337349
stock,BAU w/ HPWH,CT,distillate,0.208523592,0.322171487,0.469304921
stock,BAU w/ HPWH,CT,natural gas,0.224846894,0.267716535,0.50743657
stock,BAU w/ HPWH,CT,other fuel,0.071428571,0.5,0.428571429
stock,BAU w/ HPWH,CT,propane,0.266304348,0.277173913,0.456521739
stock,BAU w/ HPWH,CT,wood,0.220930233,0.337209302,0.441860465
stock,BAU w/ HPWH,DC,electricity,0.101123596,0.797752809,0.101123596
stock,BAU w/ HPWH,DC,distillate,0,0.25,0.75
stock,BAU w/ HPWH,DC,natural gas,0.228915663,0.280120482,0.490963855
stock,BAU w/ HPWH,DC,other fuel,0,0,1
stock,BAU w/ HPWH,DC,propane,0,1,0
stock,BAU w/ HPWH,DC,wood,0,0,1
stock,BAU w/ HPWH,DE,electricity,0.169811321,0.773584906,0.056603774
stock,BAU w/ HPWH,DE,distillate,0.164179104,0.246268657,0.589552239
stock,BAU w/ HPWH,DE,natural gas,0.219047619,0.361904762,0.419047619
stock,BAU w/ HPWH,DE,other fuel,0.333333333,0.444444444,0.222222222
stock,BAU w/ HPWH,DE,propane,0.125,0.614583333,0.260416667
stock,BAU w/ HPWH,DE,wood,0.1,0.6,0.3
stock,BAU w/ HPWH,FL,electricity,0.161971449,0.816099441,0.02192911
stock,BAU w/ HPWH,FL,distillate,0.285714286,0.571428571,0.142857143
stock,BAU w/ HPWH,FL,natural gas,0.294384058,0.515398551,0.190217391
stock,BAU w/ HPWH,FL,other fuel,0.2,0.8,0
stock,BAU w/ HPWH,FL,propane,0.202020202,0.565656566,0.232323232
stock,BAU w/ HPWH,FL,wood,0,1,0
stock,BAU w/ HPWH,GA,electricity,0.22006974,0.733824099,0.04610616
stock,BAU w/ HPWH,GA,distillate,0,1,0
stock,BAU w/ HPWH,GA,natural gas,0.276725838,0.387179487,0.336094675
stock,BAU w/ HPWH,GA,other fuel,0,0,1
stock,BAU w/ HPWH,GA,propane,0.202586207,0.482758621,0.314655172
stock,BAU w/ HPWH,GA,wood,0.153846154,0.461538462,0.384615385
stock,BAU w/ HPWH,IA,electricity,0.170926518,0.531948882,0.297124601
stock,BAU w/ HPWH,IA,distillate,0,0,1
stock,BAU w/ HPWH,IA,natural gas,0.120543918,0.196986402,0.68246968
stock,BAU w/ HPWH,IA,other fuel,0,0.2,0.8
stock,BAU w/ HPWH,IA,propane,0.105939005,0.178170144,0.715890851
stock,BAU w/ HPWH,IA,wood,0.045454545,0.136363636,0.818181818
stock,BAU w/ HPWH,ID,electricity,0.106299213,0.791338583,0.102362205
stock,BAU w/ HPWH,ID,distillate,0.111111111,0.277777778,0.611111111
stock,BAU w/ HPWH,ID,natural gas,0.18989547,0.433797909,0.37630662
stock,BAU w/ HPWH,ID,other fuel,0,0.75,0.25
stock,BAU w/ HPWH,ID,propane,0.166666667,0.452380952,0.380952381
stock,BAU w/ HPWH,ID,wood,0.272058824,0.470588235,0.257352941
stock,BAU w/ HPWH,IL,electricity,0.178307313,0.608052588,0.213640099
stock,BAU w/ HPWH,IL,distillate,0,0,1
stock,BAU w/ HPWH,IL,natural gas,0.205903463,0.170464741,0.623631796
stock,BAU w/ HPWH,IL,other fuel,0,0,1
stock,BAU w/ HPWH,IL,propane,0.174382716,0.216049383,0.609567901
stock,BAU w/ HPWH,IL,wood,0.166666667,0.055555556,0.777777778
stock,BAU w/ HPWH,IN,electricity,0.185308848,0.637173066,0.177518086
stock,BAU w/ HPWH,IN,distillate,0.153846154,0.269230769,0.576923077
stock,BAU w/ HPWH,IN,natural gas,0.20532944,0.235809454,0.558861106
stock,BAU w/ HPWH,IN,other fuel,0.090909091,0.454545455,0.454545455
stock,BAU w/ HPWH,IN,propane,0.171826625,0.256965944,0.57120743
stock,BAU w/ HPWH,IN,wood,0.232758621,0.24137931,0.525862069
stock,BAU w/ HPWH,KS,electricity,0.149484536,0.634020619,0.216494845
stock,BAU w/ HPWH,KS,distillate,0,0,1
stock,BAU w/ HPWH,KS,natural gas,0.169922595,0.283450055,0.54662735
stock,BAU w/ HPWH,KS,other fuel,0,0.5,0.5
stock,BAU w/ HPWH,KS,propane,0.160305344,0.305343511,0.534351145
stock,BAU w/ HPWH,KS,wood,0.095238095,0.095238095,0.80952381
stock,BAU w/ HPWH,KY,electricity,0.175767918,0.73165529,0.092576792
