ENDUSE	CDIV	BLDG	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
CL	1	7	0.0171	0.1829	0.0233	0.0792	-0.0207	0.0652	0.0153	0.2434	0.0	0.0	0.0923	0.3019
CL	1	8	0.047	0.2213	0.1258	0.1342	-0.0406	0.0789	-0.0405	0.2371	0.0	0.0	0.129	0.1076
CL	1	9	0.0375	0.2027	0.0807	0.1008	-0.0293	0.166	-0.0224	0.1115	-0.0103	0.0	0.1462	0.2167
CL	1	10	0.0606	0.2531	0.1981	0.2293	-0.029	0.0058	-0.0617	0.159	0.0	0.0	0.1366	0.0482
CL	1	11	0.0391	0.2087	0.099	0.1192	-0.0298	0.1136	-0.0226	0.1922	-0.0063	0.0	0.1066	0.1803
CL	1	12	0.0391	0.2087	0.099	0.1192	-0.0298	0.1136	-0.0226	0.1922	-0.0063	0.0	0.1066	0.1803
HT	2	1	0.1842	-0.0628	0.0915	0.1584	0.3443	-0.0627	-0.0048	-0.0143	0.0548	0.0	-0.0584	0.3698
HT	2	2	0.19	-0.0628	0.083	0.1248	0.324	-0.0807	-0.0109	-0.0088	0.0218	0.0	-0.0337	0.4534
HT	2	3	0.0652	-0.0118	0.0495	0.0438	0.0973	-0.0316	-0.0265	0.2517	0.3868	0.0	-0.0534	0.2288
HT	2	4	0.0745	-0.012	0.0593	0.0866	0.0951	-0.0424	-0.0247	0.0105	0.1013	0.0	-0.0229	0.6746
HT	2	5	0.0692	-0.0124	0.0315	0.0324	0.0674	-0.0118	-0.0029	-0.037	0.0034	0.0	-0.0204	0.8806
HT	2	6	0.2585	-0.0573	0.053	0.0943	0.3501	-0.0533	-0.0107	-0.0676	0.0217	0.0	-0.0492	0.4605
HT	2	7	0.1357	-0.0346	0.0174	0.0072	0.0845	-0.0129	-0.0067	-0.038	0.0	0.0	-0.0155	0.8629
HT	2	8	0.2588	-0.0976	0.1332	0.2438	0.5651	-0.0526	0.0134	-0.1772	0.0	0.0	-0.0773	0.1904
HT	2	9	0.1528	-0.0481	0.0875	0.1561	0.2229	-0.0635	-0.0045	0.0478	0.1009	0.0	-0.0721	0.4202
HT	2	10	0.2486	-0.0819	0.2279	0.3305	0.4343	-0.0019	-0.0618	-0.0896	0.0	0.0	-0.0709	0.065
HT	2	11	0.1795	-0.0549	0.103	0.1524	0.2715	-0.033	-0.0203	-0.0412	0.0228	0.0	-0.0464	0.4667
HT	2	12	0.1795	-0.0549	0.103	0.1524	0.2715	-0.033	-0.0203	-0.0412	0.0228	0.0	-0.0464	0.4667
CL	2	1	0.0501	0.1682	0.1017	0.1015	-0.0213	0.155	-0.0173	0.1174	-0.0059	0.0	0.1107	0.24
CL	2	2	0.0644	0.2069	0.116	0.0988	-0.0187	0.1784	-0.0009	0.0588	-0.0032	0.0	0.0524	0.2473
CL	2	3	-0.0085	0.1064	0.0275	0.03	-0.0451	0.1461	-0.0234	0.5034	-0.2868	0.0	0.1885	0.3618
CL	2	4	-0.0194	0.0593	0.0211	-0.0046	-0.0343	0.2546	-0.0676	0.413	-0.059	0.0	0.0808	0.3562
CL	2	5	-0.0058	0.0485	0.0159	0.0224	-0.0109	0.0607	0.0033	0.3494	-0.0113	0.0	0.0747	0.4529
CL	2	6	0.0142	0.1366	0.029	0.0777	-0.0264	0.1365	0.0084	0.3592	-0.0075	0.0	0.0708	0.2015
CL	2	7	0.0481	0.17	0.0172	0.0719	-0.0113	0.0458	0.0101	0.1698	0.0	0.0	0.067	0.4115
CL	2	8	0.0487	0.2061	0.1406	0.1488	-0.0251	0.0722	-0.0436	0.2295	0.0	0.0	0.1187	0.1041
CL	2	9	0.0322	0.1255	0.0798	0.0825	-0.0251	0.1753	-0.0169	0.1182	-0.0111	0.0	0.1549	0.2847
CL	2	10	0.0575	0.2271	0.2085	0.2166	-0.0182	0.0049	-0.016	0.1366	0.0	0.0	0.1247	0.0583
CL	2	11	0.0419	0.1691	0.0993	0.1125	-0.0182	0.0867	-0.0076	0.1746	-0.0066	0.0	0.0962	0.2522
CL	2	12	0.0419	0.1691	0.0993	0.1125	-0.0182	0.0867	-0.0076	0.1746	-0.0066	0.0	0.0962	0.2522
HT	3	1	0.1624	-0.0479	0.1097	0.1551	0.3618	-0.0649	0.0068	-0.0324	0.033	0.0	-0.0602	0.3766
HT	3	2	0.1884	-0.0533	0.0968	0.125	0.3282	-0.0772	-0.0077	-0.0103	0.021	0.0	-0.0332	0.4222
HT	3	3	0.0583	-0.0088	0.0541	0.0424	0.1061	-0.0354	-0.0231	0.2321	0.37	0.0	-0.0606	0.2648
HT	3	4	0.0763	-0.0121	0.0613	0.0921	0.1135	-0.0443	-0.0191	0.0106	0.116	0.0	-0.0252	0.6308
HT	3	5	0.1308	-0.0241	0.1062	0.0701	0.2198	-0.0289	-0.0145	-0.0951	0.0009	0.0	-0.0437	0.6784
HT	3	6	0.2813	-0.0597	0.0896	0.1173	0.478	-0.0623	-0.0158	-0.085	0.0319	0.0	-0.0548	0.2795
HT	3	7	0.1751	-0.0383	0.046	0.0318	0.1497	-0.0204	-0.0125	-0.0651	0.0	0.0	-0.0268	0.7605
HT	3	8	0.2438	-0.0786	0.1536	0.2095	0.5593	-0.0481	0.0161	-0.1665	0.0	0.0	-0.0761	0.1869
HT	3	9	0.1208	-0.0326	0.1085	0.1642	0.2585	-0.0695	0.0168	0.002	0.0554	0.0	-0.0761	0.452
HT	3	10	0.2106	-0.0572	0.2421	0.2891	0.4379	-0.0016	-0.0563	-0.0849	0.0	0.0	-0.0655	0.0858
HT	3	11	0.1832	-0.0481	0.1401	0.1711	0.3379	-0.0395	-0.0189	-0.0525	0.0221	0.0	-0.0539	0.3586
HT	3	12	0.1832	-0.0481	0.1401	0.1711	0.3379	-0.0395	-0.0189	-0.0525	0.0221	0.0	-0.0539	0.3586
CL	3	1	0.0494	0.1565	0.1155	0.0937	-0.0233	0.167	-0.0277	0.119	-0.005	0.0	0.1177	0.2371
CL	3	2	0.0645	0.213	0.1373	0.0938	-0.0226	0.1849	-0.0117	0.0628	-0.0037	0.0	0.0573	0.2244
CL	3	3	0.004	0.0851	0.0298	0.0286	-0.0425	0.1544	-0.0424	0.4659	-0.2639	0.0	0.1903	0.3906
CL	3	4	-0.0085	0.055	0.0224	-0.0038	-0.0361	0.2563	-0.0865	0.3942	-0.0593	0.0	0.0861	0.3803
CL	3	5	-0.0051	0.0657	0.0288	0.0237	-0.0289	0.1136	-0.0047	0.4412	-0.0062	0.0	0.1149	0.2571
CL	3	6	0.0146	0.1299	0.0454	0.0739	-0.0284	0.1535	0.0189	0.4364	-0.0087	0.0	0.078	0.0865
CL	3	7	0.0283	0.1696	0.0328	0.0767	-0.0223	0.0653	0.0172	0.2595	0.0	0.0	0.1016	0.2712
CL	3	8	0.0688	0.2067	0.1674	0.1393	-0.0172	0.0679	-0.0626	0.2245	0.0	0.0	0.1133	0.0919
CL	3	9	0.0286	0.1025	0.0855	0.0747	-0.0292	0.1869	-0.0235	0.1239	-0.0085	0.0	0.167	0.2921
CL	3	10	0.0638	0.2239	0.2335	0.202	-0.0254	0.0049	-0.0239	0.1341	0.0	0.0	0.1286	0.0584
CL	3	11	0.0457	0.1752	0.1337	0.1169	-0.0254	0.104	-0.0173	0.1801	-0.0075	0.0	0.1125	0.1821
CL	3	12	0.0457	0.1752	0.1337	0.1169	-0.0254	0.104	-0.0173	0.1801	-0.0075	0.0	0.1125	0.1821
HT	4	1	0.1938	-0.0603	0.1048	0.1512	0.3668	-0.0574	-0.0136	-0.0283	0.0409	0.0	-0.064	0.3661
HT	4	2	0.1831	-0.0539	0.0967	0.1222	0.3376	-0.072	-0.0156	-0.0041	0.0231	0.0	-0.0331	0.4158
HT	4	3	0.06	-0.0118	0.036	0.054	0.0954	-0.0308	-0.0213	0.3	0.4145	0.0	-0.0577	0.1618
HT	4	4	0.0733	-0.0127	0.0576	0.0756	0.104	-0.0382	-0.0253	0.0063	0.1024	0.0	-0.0251	0.6822
HT	4	5	0.1348	-0.0237	0.1385	0.0725	0.1993	-0.0309	-0.0241	-0.0956	0.0015	0.0	-0.052	0.6798
HT	4	6	0.2233	-0.0507	0.0686	0.1208	0.4204	-0.0492	-0.013	-0.0211	0.0747	0.0	-0.0508	0.277
HT	4	7	0.1759	-0.0369	0.0375	0.0237	0.1285	-0.0172	-0.0161	-0.061	0.0	0.0	-0.0238	0.7895
HT	4	8	0.2358	-0.0801	0.1525	0.2048	0.5903	-0.0434	0.007	-0.1802	0.0	0.0	-0.0723	0.1856
HT	4	9	0.184	-0.0545	0.0977	0.1518	0.2532	-0.0613	-0.0173	0.0161	0.0655	0.0	-0.0782	0.4431
HT	4	10	0.2499	-0.0782	0.215	0.3254	0.456	-0.0014	-0.0706	-0.0841	0.0	0.0	-0.0674	0.0554
HT	4	11	0.1987	-0.056	0.1241	0.1675	0.3294	-0.0365	-0.0296	-0.048	0.0252	0.0	-0.0543	0.3794
HT	4	12	0.1987	-0.056	0.1241	0.1675	0.3294	-0.0365	-0.0296	-0.048	0.0252	0.0	-0.0543	0.3794
CL	4	1	0.0573	0.1632	0.113	0.0887	-0.0115	0.131	-0.0133	0.1089	-0.0053	0.0	0.117	0.251
CL	4	2	0.0737	0.2023	0.1394	0.0885	-0.0067	0.1499	-0.0067	0.0429	-0.003	0.0	0.0505	0.2693
CL	4	3	0.0214	0.1158	0.0387	0.0578	-0.028	0.1073	-0.042	0.3968	-0.1113	0.0	0.1497	0.2938
CL	4	4	-0.0072	0.0564	0.0267	0.0052	-0.0311	0.2223	-0.0637	0.3481	-0.0494	0.0	0.081	0.4116
CL	4	5	-0.0015	0.0657	0.0451	0.0229	-0.0243	0.0934	0.0082	0.3902	-0.007	0.0	0.1364	0.271
CL	4	6	0.0153	0.1379	0.0529	0.0792	-0.0271	0.1209	0.0122	0.3799	-0.0069	0.0	0.0909	0.1448
CL	4	7	0.0285	0.1693	0.0317	0.0724	-0.0169	0.0596	0.0217	0.2505	0.0	0.0	0.1006	0.2826
CL	4	8	0.068	0.1809	0.1544	0.1218	-0.0134	0.063	-0.0546	0.2516	0.0	0.0	0.1193	0.1091
CL	4	9	0.0431	0.1334	0.0883	0.0758	-0.0174	0.1472	-0.0035	0.09	-0.009	0.0	0.1518	0.3002
CL	4	10	0.0681	0.2181	0.2112	0.229	-0.0069	0.0035	-0.0022	0.1051	0.0	0.0	0.1178	0.0565
CL	4	11	0.0482	0.1689	0.1191	0.1149	-0.0139	0.0882	-0.0036	0.1683	-0.0049	0.0	0.1087	0.2061
CL	4	12	0.0482	0.1689	0.1191	0.1149	-0.0139	0.0882	-0.0036	0.1683	-0.0049	0.0	0.1087	0.2061
HT	5	1	0.2051	-0.0776	0.1272	0.1915	0.3079	-0.0704	-0.0484	0.0146	0.1255	0.0	-0.079	0.3035
HT	5	2	0.1853	-0.0633	0.1204	0.1334	0.2705	-0.1042	-0.0344	0.0048	0.0457	0.0	-0.0467	0.4886
HT	5	3	0.0342	-0.0064	0.0135	0.0275	0.0461	-0.0313	-0.0393	0.3759	0.5115	0.0	-0.056	0.1242
HT	5	4	0.0566	-0.0123	0.066	0.0634	0.0626	-0.0293	-0.0539	0.1156	0.2535	0.0	-0.0357	0.5136
HT	5	5	0.1799	-0.0363	0.1875	0.099	0.2052	-0.0427	-0.0428	-0.139	0.0018	0.0	-0.0661	0.6534
HT	5	6	0.2246	-0.0551	0.0844	0.0805	0.3522	-0.0559	-0.0471	0.0254	0.1358	0.0	-0.0568	0.3118
HT	5	7	0.2348	-0.0551	0.0523	0.0226	0.1309	-0.0266	-0.025	-0.0861	0.0	0.0	-0.0343	0.7864
HT	5	8	0.3668	-0.1543	0.2437	0.3262	0.5747	-0.0774	-0.0722	-0.2872	0.0	0.0	-0.1234	0.2031
HT	5	9	0.1454	-0.0491	0.0852	0.1628	0.168	-0.0599	-0.0423	0.1476	0.2132	0.0	-0.0757	0.3047
HT	5	10	0.3146	-0.1351	0.3531	0.4362	0.4017	-0.0031	-0.2105	-0.1204	0.0	0.0	-0.1039	0.0674
HT	5	11	0.234	-0.0816	0.1714	0.205	0.2845	-0.045	-0.0856	-0.0404	0.0659	0.0	-0.0721	0.3638
HT	5	12	0.234	-0.0816	0.1714	0.205	0.2845	-0.045	-0.0856	-0.0404	0.0659	0.0	-0.0721	0.3638
CL	5	1	0.0481	0.1144	0.1285	0.1097	0.0008	0.1035	0.0132	0.0887	-0.0034	0.0	0.088	0.3084
CL	5	2	0.0631	0.1444	0.1516	0.0878	0.0009	0.1392	0.0209	0.0461	-0.0029	0.0	0.0463	0.3025
CL	5	3	0.0223	0.0821	0.0653	0.0569	-0.0085	0.087	0.0065	0.2825	-0.1854	0.0	0.1184	0.473
CL	5	4	0.0048	0.0339	0.0441	0.0328	-0.005	0.1395	-0.013	0.2291	-0.0378	0.0	0.0494	0.5223
CL	5	5	0.0147	0.0508	0.0538	0.0357	-0.0042	0.0677	0.0123	0.2685	-0.003	0.0	0.0768	0.4268
CL	5	6	0.0389	0.103	0.0449	0.0954	-0.0027	0.0973	0.0263	0.2463	-0.0046	0.0	0.057	0.2983
CL	5	7	0.0328	0.1202	0.0379	0.0636	-0.0055	0.0409	0.0201	0.1647	0.0	0.0	0.0638	0.4614
CL	5	8	0.0489	0.1519	0.1619	0.154	-0.0007	0.0511	0.0032	0.1805	0.0	0.0	0.0864	0.1629
CL	5	9	0.0373	0.0856	0.1035	0.0984	-0.0015	0.1072	0.0137	0.0691	-0.0055	0.0	0.1074	0.3847
