Technology,End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
all,water heating,4,0,0,0,0,0,0,0,0,0,0,0.146957598,0,0,0,0.098634137,0,0,0,0,0,0,0.248424268,0.309482522,0,0,0,0.060509192,0.079407338,0,0,0,0,0,0,0,0,0,0,0,0.056584945,0,0,0,0,0,0,0,0,0,0,0
all,water heating,5,0,0,0,0,0,0,0.00810415,0.015448918,0.298979611,0.139703828,0,0,0,0,0,0,0,0,0.088452949,0,0,0,0,0,0,0.186954149,0,0,0,0,0,0,0,0,0,0,0,0,0.086887836,0,0,0,0,0.137161376,0,0,0,0.038307183,0,0,0
all,water heating,6,0.243701359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25273645,0,0,0,0,0,0,0,0.121257438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382304753,0,0,0,0,0,0,0,0,0,0
all,water heating,7,0,0.105793535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124137282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097913998,0,0,0,0,0,0,0.672155186,0,0,0,0,0,0,0,0,0
all,water heating,8,0,0,0.324830836,0,0.209776949,0,0,0,0,0,0,0.121890645,0,0,0,0,0,0,0,0,0,0,0,0,0.075605711,0,0,0,0,0,0.073191133,0.099603946,0,0,0,0,0,0,0,0,0,0,0.060717827,0,0,0,0,0,0.034382953,0,0
all,water heating,9,0,0,0,0.421139098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21065075,0,0,0,0,0,0,0,0,0,0.368210152,0,0,0,0,0
all,cooking,1,0,0,0,0,0,0.249241144,0,0,0,0,0,0,0,0,0,0,0,0.428920134,0,0.105243275,0,0,0,0,0,0,0,0,0.099316973,0,0,0,0,0,0,0,0,0.071173603,0,0,0,0,0,0,0.046104871,0,0,0,0,0,0
all,cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174259019,0,0,0.435795942,0,0,0,0.389945039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0.222275065,0.150966612,0,0,0,0,0,0,0.202394438,0,0,0,0,0,0,0,0,0,0,0,0,0.285579705,0,0,0,0,0,0,0,0,0,0,0,0,0.138784179,0,0,0,0
all,cooking,4,0,0,0,0,0,0,0,0,0,0,0.139349755,0,0,0,0.142164742,0,0,0,0,0,0,0.23745756,0.303650286,0,0,0,0.03949592,0.095369531,0,0,0,0,0,0,0,0,0,0,0,0.042512206,0,0,0,0,0,0,0,0,0,0,0
all,cooking,5,0,0,0,0,0,0,0.00864486,0.013457097,0.35273451,0.138867705,0,0,0,0,0,0,0,0,0.081020682,0,0,0,0,0,0,0.166518327,0,0,0,0,0,0,0,0,0,0,0,0,0.08223,0,0,0,0,0.127061053,0,0,0,0.029465765,0,0,0
all,cooking,6,0.259258992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230035163,0,0,0,0,0,0,0,0.152105565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35860028,0,0,0,0,0,0,0,0,0,0
all,cooking,7,0,0.086069682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126057324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098200786,0,0,0,0,0,0,0.689672208,0,0,0,0,0,0,0,0,0
all,cooking,8,0,0,0.301779383,0,0.258735029,0,0,0,0,0,0,0.073023421,0,0,0,0,0,0,0,0,0,0,0,0,0.049946378,0,0,0,0,0,0.076067224,0.096977333,0,0,0,0,0,0,0,0,0,0,0.116130745,0,0,0,0,0,0.027340488,0,0
all,cooking,9,0,0,0,0.663774064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11371149,0,0,0,0,0,0,0,0,0,0.222514447,0,0,0,0,0
all,drying,1,0,0,0,0,0,0.244910121,0,0,0,0,0,0,0,0,0,0,0,0.419637364,0,0.112278694,0,0,0,0,0,0,0,0,0.103015807,0,0,0,0,0,0,0,0,0.070708363,0,0,0,0,0,0,0.049449653,0,0,0,0,0,0
