End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
refrigeration,6,0,0.25494510904323614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22046566136442539,0,0,0,0,0,0,0,0.16392583594731364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3606633936450248,0,0,0,0,0,0,0,0
refrigeration,7,0,0,0.0691800735424143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12043323103544191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09287156857493933,0,0,0,0,0,0,0.7175151268472044,0,0,0,0,0,0,0
refrigeration,8,0,0,0,0.2426350976234103,0,0.23371301818451715,0,0,0,0,0,0,0,0.054675429772079745,0,0,0,0,0,0,0,0,0,0,0,0,0.03587516114588214,0,0,0,0,0,0.10002116575826105,0.19037006743712312,0,0,0,0,0,0,0,0,0,0,0.11720244363016522,0,0,0,0,0,0.02550761644856114
refrigeration,9,0.015840450002019887,0,0,0,0.6697090436721536,0,0,0,0,0,0,0.07249241085462212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09509416603662903,0,0,0,0,0,0,0,0,0,0.14686392943457527,0,0,0
misc,1,0,0,0,0,0,0,0.2569923382390828,0,0,0,0,0,0,0,0,0,0,0,0,0.48340055808339566,0,0.08422501739048165,0,0,0,0,0,0,0,0,0.08031646247719743,0,0,0,0,0,0,0,0,0.06845839417436292,0,0,0,0,0,0,0.026607229635479446,0,0,0,0
misc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23259268438034217,0,0,0.439103008599557,0,0,0,0.32830430702010077,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2824771483228741,0.13923556660086434,0,0,0,0,0,0,0.19021788015830324,0,0,0,0,0,0,0,0,0,0,0,0,0.27331299674556786,0,0,0,0,0,0,0,0,0,0,0,0,0.11475640817239052,0,0
misc,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13867383640131994,0,0,0,0.14417615715407267,0,0,0,0,0,0,0.25547112403722844,0.3323261860134588,0,0,0,0.02524449837116359,0.08077569078593243,0,0,0,0,0,0,0,0,0,0,0,0.0233325072368241,0,0,0,0,0,0,0,0,0
misc,5,0,0,0,0,0,0,0,0.020760216276458247,0.013850289686739514,0.3169116001212901,0.16905068193983655,0,0,0,0,0,0,0,0,0,0.09330586809312258,0,0,0,0,0,0,0.15392163345879717,0,0,0,0,0,0,0,0,0,0,0,0,0.08252093410197191,0,0,0,0,0.125346577277175,0,0,0,0.024332199044608854,0
misc,6,0,0.24166602769332574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23487537382108045,0,0,0,0,0,0,0,0.1322709039076033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3911876945779905,0,0,0,0,0,0,0,0
misc,7,0,0,0.060707235781230745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10192808173111306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09389694312346883,0,0,0,0,0,0,0.7434677393641874,0,0,0,0,0,0,0
misc,8,0,0,0,0.26045196856910563,0,0.25710102002699703,0,0,0,0,0,0,0,0.06188442367300532,0,0,0,0,0,0,0,0,0,0,0,0,0.02807460600631109,0,0,0,0,0,0.0756028478853764,0.16384681046958782,0,0,0,0,0,0,0,0,0,0,0.13468010917690176,0,0,0,0,0,0.01835821419271504
misc,9,0.01007305772515557,0,0,0,0.7361906390183915,0,0,0,0,0,0,0.03115564607714049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08285594846007983,0,0,0,0,0,0,0,0,0,0.1397247087192324,0,0,0
