End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239367548,0,0,0.447585373,0,0,0,0.313047079,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28142012,0.156064438,0,0,0,0,0,0,0.168318126,0,0,0,0,0,0,0,0,0,0,0,0,0.296047628,0,0,0,0,0,0,0,0,0,0,0,0,0.098149687,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0,0,0.109227313,0,0,0,0.185900839,0,0,0,0,0,0,0.174864865,0.417905823,0,0,0,0.018112352,0.072347591,0,0,0,0,0,0,0,0,0,0,0,0.021641216,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0,0.010793763,0.009052925,0.466040655,0.14448472,0,0,0,0,0,0,0,0,0,0.056614309,0,0,0,0,0,0,0.12441033,0,0,0,0,0,0,0,0,0,0,0,0,0.085120563,0,0,0,0,0.085933838,0,0,0,0.017548896,0
cooling,6,0,0.284917806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180773217,0,0,0,0,0,0,0,0.163973721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370335255,0,0,0,0,0,0,0,0
cooling,7,0,0,0.056929335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124411692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080223137,0,0,0,0,0,0,0.738435836,0,0,0,0,0,0,0
cooling,8,0,0,0,0.478716329,0,0.125700183,0,0,0,0,0,0,0,0.030080808,0,0,0,0,0,0,0,0,0,0,0,0,0.01356392,0,0,0,0,0,0.066958526,0.192949942,0,0,0,0,0,0,0,0,0,0,0.082683077,0,0,0,0,0,0.009347216
cooling,9,0.00090275,0,0,0,0.87232532,0,0,0,0,0,0,0.048438829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032106431,0,0,0,0,0,0,0,0,0,0.04622667,0,0,0
fans and pumps,1,0,0,0,0,0,0,0.228918388,0,0,0,0,0,0,0,0,0,0,0,0,0.5075741,0,0.079150126,0,0,0,0,0,0,0,0,0.082690222,0,0,0,0,0,0,0,0,0.07515427,0,0,0,0,0,0,0.026512894,0,0,0,0
fans and pumps,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225160273,0,0,0.46335121,0,0,0,0.311488517,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273617339,0.137009933,0,0,0,0,0,0,0.191051731,0,0,0,0,0,0,0,0,0,0,0,0,0.2783524,0,0,0,0,0,0,0,0,0,0,0,0,0.119968597,0,0
fans and pumps,4,0,0,0,0,0,0,0,0,0,0,0,0,0.122498439,0,0,0,0.162933499,0,0,0,0,0,0,0.239114317,0.330569107,0,0,0,0.030349387,0.082984933,0,0,0,0,0,0,0,0,0,0,0,0.031550317,0,0,0,0,0,0,0,0,0
fans and pumps,5,0,0,0,0,0,0,0,0.014445352,0.014140805,0.330602402,0.165507423,0,0,0,0,0,0,0,0,0,0.085443634,0,0,0,0,0,0,0.151979149,0,0,0,0,0,0,0,0,0,0,0,0,0.088238254,0,0,0,0,0.117847144,0,0,0,0.031795837,0
fans and pumps,6,0,0.259783669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214412033,0,0,0,0,0,0,0,0.141499057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384305242,0,0,0,0,0,0,0,0
fans and pumps,7,0,0,0.071061606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107937788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104160695,0,0,0,0,0,0,0.716839911,0,0,0,0,0,0,0
fans and pumps,8,0,0,0,0.307019185,0,0.224705578,0,0,0,0,0,0,0,0.055314883,0,0,0,0,0,0,0,0,0,0,0,0,0.034397996,0,0,0,0,0,0.083444181,0.151337155,0,0,0,0,0,0,0,0,0,0,0.123104754,0,0,0,0,0,0.020676269
